name,Korean_Name,Gender,Debut,Company,korean_name,imagePath
MOMOLAND,모모랜드,F,2009-11-16,Double Kick,모모랜드,/images/1.jpg
Hello Venus,헬로비너스,F,2009-05-12,Fantagio,헬로비너스,/images/1.jpg
f(x),에프엑스,F,2005-09-09,SM,에프엑스,/images/1.jpg
Girls' World,소녀시대,F,2022-06-20,Liz,소녀시대,/images/1.jpg
FIFTY FIFTY,피프티피프티,F,2022-11-18,ATTRAKT,피프티피프티,/images/1.jpg
Oh My Girl,오마이걸,F,2015-04-15,WM,오마이걸,/images/1.jpg
Treasure,트레져,M,2007-08-20,YG,트레져,/images/1.jpg
EXO,엑소,M,2008-04-12,SM,엑소,/images/1.jpg
iKON,아이콘,M,2015-09-15,YG,아이콘,/images/1.jpg
2NE1,투에니원,F,2006-05-09,YG,투에니원,/images/1.jpg
Apink,에이핑크,F,2011-04-11,Plan A,에이핑크,/images/1.jpg
SISTAR,시스타,F,2006-03-10,Starship,시스타,/images/1.jpg
Teen Top,틴탑,M,2009-07-10,TOP Media,틴탑,/images/1.jpg
N.Flying,엔플라잉,M,2015-05-20,FNC,엔플라잉,/images/1.jpg
ITZY,잇지,F,2012-02-19,JYP,잇지,/images/1.jpg
LE SSERAFIM,르세라핌,F,2002-05-22,Source,르세라핌,/images/1.jpg
BtoB,비투비,M,2012-03-21,Cube,비투비,/images/1.jpg
AoA,에이오에이,F,2012-07-30,FNC,에이오에이,/images/1.jpg
NCT,엔시티,M,2009-04-16,SM,엔시티,/images/1.jpg
B1A4,비원에이포,M,2010-04-19,WM,비원에이포,/images/1.jpg
BIGBANG,빅뱅,M,2006-08-19,YG,빅뱅,/images/1.jpg
Wanna One,워너원,M,2007-08-17,YMC,워너원,/images/1.jpg
NewJeans,뉴진스,F,2022-07-22,ADOR,뉴진스,/images/1.jpg
Seventeen,세븐틴,M,2015-05-26,Pledis,세븐틴,/images/1.jpg
Super Junior,슈퍼주니어,M,2006-11-05,SM,슈퍼주니어,/images/1.jpg
Infinite,인피니트,M,2009-06-10,Woollim,인피니트,/images/1.jpg
DAY6,데이식스,M,2007-09-15,JYP,데이식스,/images/1.jpg
ONF,오엔에프,M,2002-08-17,WM,오엔에프,/images/1.jpg
Brave Girls,브레이브걸스,F,2008-04-11,Brave,브레이브걸스,/images/1.jpg
T-ara,티아라,F,2009-07-29,MBK,티아라,/images/1.jpg
ASTRO,아스트로,M,2016-02-13,Fantagio,아스트로,/images/1.jpg
After School,에프터스쿨,F,2009-01-15,Pledis,에프터스쿨,/images/1.jpg
miss A,미스에이,F,2001-07-10,JYP,미스에이,/images/1.jpg
IVE,아이브,F,2001-12-21,Starship,아이브,/images/1.jpg
Brown Eyed Girls,브라운아이즈걸스,F,2002-03-06,Mystic,브라운아이즈걸스,/images/1.jpg
4minute,포미닛,F,2009-06-15,Cube,포미닛,/images/1.jpg
IM,아이엠,M,2004-04-22,FC ENM,아이엠,/images/1.jpg
aespa,에스파,F,2020-11-17,SM,에스파,/images/1.jpg
KARA,카라,F,2007-03-29,DSP,카라,/images/1.jpg
Davichi,다비치,F,2004-02-08,CJ E&M,다비치,/images/1.jpg
EXID,이엑스아이디,F,2012-02-16,Yedang,이엑스아이디,/images/1.jpg
FTISLAND,에프티아일렌드,M,2007-06-07,FNC,에프티아일렌드,/images/1.jpg
WINNER,위너,M,2012-08-14,YG,위너,/images/1.jpg
Mamamoo,마마무,F,2014-06-18,RBW,마마무,/images/1.jpg
Wonder Girls,원더걸스,F,2007-02-13,JYP,원더걸스,/images/1.jpg
Rainbow,레인보우,F,2012-11-09,DSP,레인보우,/images/1.jpg
Red Velvet,레드벨벳,F,2001-08-14,SM,레드벨벳,/images/1.jpg
STAYC,스테이시,F,2012-11-20,Hi-Up,스테이시,/images/1.jpg
BLACKPINK,블랙핑크,F,2008-08-16,YG,블랙핑크,/images/1.jpg
BTS,비티에스,M,2013-06-13,Big Hit,비티에스,/images/1.jpg
SHINee,샤이니,M,2008-05-25,SM,샤이니,/images/1.jpg
Gfriend,여자친구,F,2015-01-15,Source,여자친구,/images/1.jpg
ISEGYE IDOL,이세계아이돌,V,2021-12-17,Sandbox,이세계아이돌,/images/1.jpg
StelLive,스텔라이브,V,2022-12-28,StelLive,스텔라이브,/images/1.jpg
PLAVE,플레이브,V,2023-03-12,VLAST,플레이브,/images/1.jpg
